PERIODO,PROGRAMA,INSCRITOS
201820,IIND,481
201820,IMEC,196
201820,IQUI,133
201820,ISIS,167
201820,LART,3
201820,LCUL,81
201820,LEFI,4
201820,LEIN,9
201820,LFIS,1
201820,LHIS,4
201820,LITE,62
201820,LMAT,4
201820,MATE,57
201820,MEDI,651
201820,MICR,96
201820,MUSI,83
201820,PSIC,224
201820,QUIM,44
201910,ADMI,599
201910,ANTR,73
201910,ARQU,330
201910,ARTE,116
201910,BIOL,126
201910,CONT,96
201910,CPOL,277
201910,DERE,590
201910,DISO,332
201910,ECON,487
201910,EDIR,157
201910,FILO,43
201910,FISI,178
201910,GEOC,91
201910,GOBI,220
201910,HART,47
201910,HIST,30
201910,IAMB,168
201910,IBIO,344
201910,ICIV,330
201910,IELC,237
201910,IELE,51
201910,IIND,440
201910,IMEC,289
201910,IQUI,279
201910,ISIS,315
201910,LART,10
201910,LBIO,2
201910,LCUL,137
201910,LEFI,15
201910,LEIN,9
201910,LFIS,3
201910,LHIS,5
201910,LITE,95
201910,LMAT,7
201910,LQUI,5
201910,MATE,87
201910,MEDI,911
201910,MICR,136
201910,MUSI,94
201910,NADI,57
201910,PSIC,231
201910,QUIM,78
201920,ADMI,677
201920,ANTR,64
201920,ARQU,263
201920,ARTE,117
201920,BIOL,114
201920,CONT,50
201920,CPOL,208
201920,DERE,470
201920,DISO,356
201920,ECON,395
201920,EDIR,293
201920,FILO,46
201920,FISI,104
201920,GEOC,39
201920,GOBI,161
201920,HART,52
201920,HIST,41
201920,IAMB,104
201920,IBIO,190
201920,ICIV,159
201920,IELC,100
201920,IELE,32
201920,IIND,372
201920,IMEC,163
201920,IQUI,121
201920,ISIS,180
201920,LART,4
201920,LBIO,1
201920,LCUL,81
201920,LEFI,3
201920,LEIN,9
201920,LFIS,6
201920,LFLS,1
201920,LHIS,2
201920,LITE,52
201920,LMAT,4
201920,LQUI,7
201920,MATE,51
201920,MEDI,497
201920,MICR,93
201920,MUSI,83
201920,NADI,80
201920,PSIC,236
201920,QUIM,50
202010,ADMI,661
202010,ANTR,79
202010,ARQU,338
202010,ARTE,129
202010,BIOL,156
202010,CONT,102
202010,CPOL,272
202010,DERE,656
202010,DISO,305
202010,ECON,495
202010,EDIR,166
202010,FILO,53
202010,FISI,224
202010,GEOC,94
202010,GOBI,196
202010,HART,39
202010,HIST,38
202010,IAMB,156
202010,IBIO,424
202010,ICIV,358
202010,IELC,268
202010,IELE,72
202010,IIND,450
202010,IMEC,305
202010,IQUI,281
202010,ISIS,387
202010,LART,7
202010,LBIO,7
202010,LCUL,154
202010,LEFI,22
202010,LEIN,22
202010,LFIS,8
202010,LFLS,4
202010,LHIS,8
202010,LITE,79
202010,LMAT,10
202010,LQUI,9
202010,MATE,91
202010,MEDI,933
202010,MICR,143
202010,MUSI,112
202010,NADI,127
202010,PSIC,298
202010,QUIM,108
202020,ADMI,672
202020,ANTR,69
202020,ARQU,310
202020,ARTE,124
202020,BIOL,104
202020,CONT,36
202020,CPOL,186
202020,DERE,477
202020,DISO,367
202020,ECON,470
202020,EDIR,236
202020,FILO,47
202020,FISI,124
202020,GEOC,38
202020,GOBI,142
202020,HART,29
202020,HIST,33
202020,IALI,38
202020,IAMB,66
202020,IBIO,219
202020,ICIV,183
202020,IELC,121
202020,IELE,35
202020,IIND,399
202020,IMEC,171
202020,IQUI,138
202020,ISIS,205
202020,LART,5
202020,LBIO,4
202020,LCUL,27
202020,LEFI,15
202020,LEIN,12
202020,LFIS,2
202020,LFLS,5
202020,LHIS,13
202020,LITE,54
202020,LMAT,7
202020,LQUI,2
202020,MATE,59
202020,MEDI,647
202020,MICR,110
202020,MUSI,110
202020,NADI,129
202020,PSIC,231
202020,QUIM,58
202110,ADMI,609
202110,ANTR,77
202110,ARQU,397
202110,ARTE,128
202110,BIOL,140
202110,CPOL,268
202110,DERE,632
202110,DISO,368
202110,ECON,439
202110,EDIR,91
202110,FILO,44
202110,FISI,186
202110,GEOC,84
202110,GOBI,181
202110,HART,25
202110,HIST,45
202110,IALI,30
202110,IAMB,119
202110,IBIO,333
202110,ICIV,333
202110,IELC,204
202110,IELE,44
202110,IIND,372
202110,IMEC,265
202110,IQUI,232
202110,ISIS,418
202110,LART,8
202110,LBIO,10
202110,LCUL,190
202110,LEFI,21
202110,LEIN,21
202110,LFIS,7
202110,LFLS,8
202110,LHIS,10
202110,LITE,89
202110,LMAT,10
202110,LQUI,6
202110,MATE,86
202110,MEDI,1147
202110,MICR,136
202110,MUSI,120
202110,NADI,123
202110,PSIC,191
202110,QUIM,88
